ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-74.1907,-36.5468,1,2016142,0,0,0,0,0
-74.1825,-36.7089,1,2016143,0,0,0,0,0
-74.1515,-36.8611,1,2016144,0,0,0,0,0
-74.1472,-37.007,1,2016145,0,0,0,0,0
-74.0872,-37.106,1,2016146,0,0,0,0,0
-73.9982,-37.2285,1,2016147,0,0,0,0,0
-73.9336,-37.4171,1,2016148,0,0,0,0,0
-73.9094,-37.7169,1,2016149,0,0,0,0,0
-73.8341,-37.8214,1,2016150,0,0,0,0,0
-73.8341,-37.8214,1,2016151,0,0,0,0,0
-73.7922,-38.0183,1,2016152,0,0,0,0,0
-73.7522,-38.1416,1,2016153,0,0,0,0,0
-73.7522,-38.1416,1,2016154,0,0,0,0,0
-73.7522,-38.1416,1,2016155,0,0,0,0,0
-73.6064,-38.62,1,2016156,0,0,0,0,0
-73.5456,-38.603,1,2016157,0,0,0,0,0
-73.5456,-38.603,1,2016158,0,0,0,0,0
-73.5008,-38.9189,1,2016159,0,0,0,0,0
-73.5008,-38.9189,1,2016160,0,0,0,0,0
-73.4293,-39.0008,1,2016161,0,0,0,0,0
-73.3818,-39.0882,0,2016162,0,0,0,0,0
-73.3588,-39.1379,1,2016163,0,0,0,0,0
-73.3588,-39.1379,1,2016164,0,0,0,0,0
-73.3588,-39.1379,1,2016165,0,0,0,0,0
-72.9033,-40.2588,1,2016182,0,0,0,0,0
-72.9033,-40.2588,1,2016183,0,0,0,0,0
-72.9033,-40.2588,1,2016184,0,0,0,0,0
-72.946,-40.1279,0,2016185,0,0,0,0,0
-73.0109,-39.997,1,2016186,0,0,0,0,0
-73.0497,-40.162,1,2016187,0,0,0,0,0
-73.1819,-40.0004,1,2016188,0,0,0,0,0
-73.2641,-40.4251,1,2016189,0,0,0,0,0
-73.2298,-40.7703,1,2016190,0,0,0,0,0
-73.184,-40.8958,1,2016191,0,0,0,0,0
-73.184,-40.8958,1,2016192,0,0,0,0,0
-73.0854,-41.1254,1,2016193,0,0,0,0,0
